epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421430121,2018-10-24T18.50.30.121,24.622,-0.002048000,-0.002048000,-0.000512563
1540421430221,2018-10-24T18.50.30.221,24.722,-0.002048000,-0.002048000,-0.000511875
1540421430322,2018-10-24T18.50.30.322,24.823,-0.002048000,-0.002048000,-0.000510563
1540421430423,2018-10-24T18.50.30.423,24.924,-0.002048000,-0.002048000,-0.000503937
1540421430524,2018-10-24T18.50.30.524,25.025,-0.002048000,-0.002048000,-0.000497000
1540421430625,2018-10-24T18.50.30.625,25.126,-0.002048000,-0.002048000,-0.000492438
1540421430726,2018-10-24T18.50.30.726,25.227,-0.002048000,-0.002048000,-0.000485687
1540421430828,2018-10-24T18.50.30.828,25.329,-0.002048000,-0.002048000,-0.000484938
1540421430929,2018-10-24T18.50.30.929,25.430,-0.002048000,-0.002048000,-0.000490000
1540421431028,2018-10-24T18.50.31.028,25.529,-0.002048000,-0.002048000,-0.000498687
1540421431129,2018-10-24T18.50.31.129,25.630,-0.002048000,-0.002048000,-0.000507938
1540421431230,2018-10-24T18.50.31.230,25.731,-0.002048000,-0.002048000,-0.000507750
1540421431331,2018-10-24T18.50.31.331,25.832,-0.002048000,-0.002048000,-0.000506500
1540421431433,2018-10-24T18.50.31.433,25.934,-0.002048000,-0.002048000,-0.000502625
1540421431534,2018-10-24T18.50.31.534,26.035,-0.002048000,-0.002048000,-0.000493500
1540421431635,2018-10-24T18.50.31.635,26.136,-0.002048000,-0.002048000,-0.000488313
1540421431736,2018-10-24T18.50.31.736,26.237,-0.002048000,-0.002048000,-0.000482062
1540421431835,2018-10-24T18.50.31.835,26.336,-0.002048000,-0.002048000,-0.000478125
1540421431936,2018-10-24T18.50.31.936,26.437,-0.002048000,-0.002048000,-0.000480375
1540421432038,2018-10-24T18.50.32.038,26.539,-0.002048000,-0.002048000,-0.000488500
1540421432139,2018-10-24T18.50.32.139,26.640,-0.002048000,-0.002048000,-0.000494312
1540421432240,2018-10-24T18.50.32.240,26.741,-0.002048000,-0.002048000,-0.000496000
1540421432341,2018-10-24T18.50.32.341,26.842,-0.002048000,-0.002048000,-0.000492438
1540421432442,2018-10-24T18.50.32.442,26.943,-0.002048000,-0.002048000,-0.000490375
1540421432543,2018-10-24T18.50.32.543,27.044,-0.002048000,-0.002048000,-0.000481687
1540421432642,2018-10-24T18.50.32.642,27.143,-0.002048000,-0.002048000,-0.000477563
1540421432744,2018-10-24T18.50.32.744,27.245,-0.002048000,-0.002048000,-0.000473750
1540421432845,2018-10-24T18.50.32.845,27.346,-0.002048000,-0.002048000,-0.000470375
1540421432946,2018-10-24T18.50.32.946,27.447,-0.002048000,-0.002048000,-0.000473750
1540421433047,2018-10-24T18.50.33.047,27.548,-0.002048000,-0.002048000,-0.000484063
1540421433148,2018-10-24T18.50.33.148,27.649,-0.002048000,-0.002048000,-0.000496313
1540421433249,2018-10-24T18.50.33.249,27.750,-0.002048000,-0.002048000,-0.000498125
1540421433350,2018-10-24T18.50.33.350,27.851,-0.002048000,-0.002048000,-0.000499250
1540421433451,2018-10-24T18.50.33.451,27.952,-0.002048000,-0.002048000,-0.000496125
1540421433551,2018-10-24T18.50.33.551,28.052,-0.002048000,-0.002048000,-0.000489125
1540421433652,2018-10-24T18.50.33.652,28.153,-0.002048000,-0.002048000,-0.000479813
1540421433753,2018-10-24T18.50.33.753,28.254,-0.002048000,-0.002048000,-0.000472188
1540421433854,2018-10-24T18.50.33.854,28.355,-0.002048000,-0.002048000,-0.000466250
1540421433955,2018-10-24T18.50.33.955,28.456,-0.002048000,-0.002048000,-0.000471125
1540421434056,2018-10-24T18.50.34.056,28.557,-0.002048000,-0.002048000,-0.000480938
1540421434157,2018-10-24T18.50.34.157,28.658,-0.002048000,-0.002048000,-0.000487625
1540421434258,2018-10-24T18.50.34.258,28.759,-0.002048000,-0.002048000,-0.000490187
1540421434359,2018-10-24T18.50.34.359,28.860,-0.002048000,-0.002048000,-0.000489250
1540421434459,2018-10-24T18.50.34.459,28.960,-0.002048000,-0.002048000,-0.000488687
1540421434560,2018-10-24T18.50.34.560,29.061,-0.002048000,-0.002048000,-0.000482062
