epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421416956,2018-10-24T18.50.16.956,12.415,-0.002048000,-0.002048000,-0.000921938
1540421417055,2018-10-24T18.50.17.055,12.514,-0.002048000,-0.002048000,-0.000912875
1540421417155,2018-10-24T18.50.17.155,12.614,-0.002048000,-0.002048000,-0.000906000
1540421417255,2018-10-24T18.50.17.255,12.714,-0.002048000,-0.002048000,-0.000904125
1540421417353,2018-10-24T18.50.17.353,12.812,-0.002048000,-0.002048000,-0.000906000
1540421417452,2018-10-24T18.50.17.452,12.911,-0.002048000,-0.002048000,-0.000908250
1540421417552,2018-10-24T18.50.17.552,13.011,-0.002048000,-0.002048000,-0.000915000
1540421417652,2018-10-24T18.50.17.652,13.111,-0.002048000,-0.002048000,-0.000932813
1540421417751,2018-10-24T18.50.17.751,13.210,-0.002048000,-0.002048000,-0.000940875
1540421417849,2018-10-24T18.50.17.849,13.308,-0.002048000,-0.002048000,-0.000939375
1540421417949,2018-10-24T18.50.17.949,13.408,-0.002048000,-0.002048000,-0.000932875
1540421418049,2018-10-24T18.50.18.049,13.508,-0.002048000,-0.002048000,-0.000906000
1540421418148,2018-10-24T18.50.18.148,13.607,-0.002048000,-0.002048000,-0.000920750
1540421418248,2018-10-24T18.50.18.248,13.707,-0.002048000,-0.002048000,-0.000924250
1540421418346,2018-10-24T18.50.18.346,13.805,-0.002048000,-0.002048000,-0.000926563
1540421418446,2018-10-24T18.50.18.446,13.905,-0.002048000,-0.002048000,-0.000933187
1540421418545,2018-10-24T18.50.18.545,14.004,-0.002048000,-0.002048000,-0.000936750
1540421418645,2018-10-24T18.50.18.645,14.104,-0.002048000,-0.002048000,-0.000936312
1540421418743,2018-10-24T18.50.18.743,14.202,-0.002048000,-0.002048000,-0.000934000
1540421418843,2018-10-24T18.50.18.843,14.302,-0.002048000,-0.002048000,-0.000934562
1540421418942,2018-10-24T18.50.18.942,14.401,-0.002048000,-0.002048000,-0.000933625
1540421419042,2018-10-24T18.50.19.042,14.501,-0.002048000,-0.002048000,-0.000932437
1540421419141,2018-10-24T18.50.19.141,14.600,-0.002048000,-0.002048000,-0.000927812
1540421419240,2018-10-24T18.50.19.240,14.699,-0.002048000,-0.002048000,-0.000928250
