epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421416910,2018-10-24T18.50.16.910,12.230,-0.002048000,-0.002048000,-0.000052313
1540421417010,2018-10-24T18.50.17.010,12.330,-0.002048000,-0.002048000,-0.000044750
1540421417109,2018-10-24T18.50.17.109,12.429,-0.002048000,-0.002048000,-0.000041375
1540421417209,2018-10-24T18.50.17.209,12.529,-0.002048000,-0.002048000,-0.000038375
1540421417308,2018-10-24T18.50.17.308,12.628,-0.002048000,-0.002048000,-0.000034938
1540421417408,2018-10-24T18.50.17.408,12.728,-0.002048000,-0.002048000,-0.000030062
1540421417506,2018-10-24T18.50.17.506,12.826,-0.002048000,-0.002048000,-0.000031188
1540421417606,2018-10-24T18.50.17.606,12.926,-0.002048000,-0.002048000,-0.000038750
1540421417705,2018-10-24T18.50.17.705,13.025,-0.002048000,-0.002048000,-0.000056438
1540421417805,2018-10-24T18.50.17.805,13.125,-0.002048000,-0.002048000,-0.000074125
1540421417905,2018-10-24T18.50.17.905,13.225,-0.002048000,-0.002048000,-0.000085438
1540421418004,2018-10-24T18.50.18.004,13.324,-0.002048000,-0.002048000,-0.000077125
1540421418104,2018-10-24T18.50.18.104,13.424,-0.002048000,-0.002048000,-0.000073688
1540421418202,2018-10-24T18.50.18.202,13.522,-0.002048000,-0.002048000,-0.000071500
1540421418302,2018-10-24T18.50.18.302,13.622,-0.002048000,-0.002048000,-0.000066188
1540421418401,2018-10-24T18.50.18.401,13.721,-0.002048000,-0.002048000,-0.000058687
1540421418501,2018-10-24T18.50.18.501,13.821,-0.002048000,-0.002048000,-0.000051875
1540421418600,2018-10-24T18.50.18.600,13.920,-0.002048000,-0.002048000,-0.000046250
1540421418700,2018-10-24T18.50.18.700,14.020,-0.002048000,-0.002048000,-0.000057938
1540421418800,2018-10-24T18.50.18.800,14.120,-0.002048000,-0.002048000,-0.000077500
1540421418898,2018-10-24T18.50.18.898,14.218,-0.002048000,-0.002048000,-0.000089188
1540421418997,2018-10-24T18.50.18.997,14.317,-0.002048000,-0.002048000,-0.000079000
1540421419097,2018-10-24T18.50.19.097,14.417,-0.002048000,-0.002048000,-0.000065500
1540421419197,2018-10-24T18.50.19.197,14.517,-0.002048000,-0.002048000,-0.000062438
1540421419296,2018-10-24T18.50.19.296,14.616,-0.002048000,-0.002048000,-0.000059438
1540421419396,2018-10-24T18.50.19.396,14.716,-0.002048000,-0.002048000,-0.000052625
1540421419495,2018-10-24T18.50.19.495,14.815,-0.002048000,-0.002048000,-0.000043625
1540421419595,2018-10-24T18.50.19.595,14.915,-0.002048000,-0.002048000,-0.000039500
1540421419693,2018-10-24T18.50.19.693,15.013,-0.002048000,-0.002048000,-0.000048875
1540421419793,2018-10-24T18.50.19.793,15.113,-0.002048000,-0.002048000,-0.000065875
1540421419892,2018-10-24T18.50.19.892,15.212,-0.002048000,-0.002048000,-0.000077187
1540421419992,2018-10-24T18.50.19.992,15.312,-0.002048000,-0.002048000,-0.000074500
1540421420092,2018-10-24T18.50.20.092,15.412,-0.002048000,-0.002048000,-0.000066938
1540421420191,2018-10-24T18.50.20.191,15.511,-0.002048000,-0.002048000,-0.000066188
1540421420291,2018-10-24T18.50.20.291,15.611,-0.002048000,-0.002048000,-0.000059813
1540421420389,2018-10-24T18.50.20.389,15.709,-0.002048000,-0.002048000,-0.000048187
1540421420489,2018-10-24T18.50.20.489,15.809,-0.002048000,-0.002048000,-0.000034187
1540421420588,2018-10-24T18.50.20.588,15.908,-0.002048000,-0.002048000,-0.000034563
1540421420688,2018-10-24T18.50.20.688,16.008,-0.002048000,-0.002048000,-0.000041750
1540421420787,2018-10-24T18.50.20.787,16.107,-0.002048000,-0.002048000,-0.000059813
1540421420887,2018-10-24T18.50.20.887,16.207,-0.002048000,-0.002048000,-0.000068500
1540421420987,2018-10-24T18.50.20.987,16.307,-0.002048000,-0.002048000,-0.000062875
1540421421086,2018-10-24T18.50.21.086,16.406,-0.002048000,-0.002048000,-0.000059062
1540421421184,2018-10-24T18.50.21.184,16.504,-0.002048000,-0.002048000,-0.000057563
1540421421284,2018-10-24T18.50.21.284,16.604,-0.002048000,-0.002048000,-0.000051125
1540421421384,2018-10-24T18.50.21.384,16.704,-0.002048000,-0.002048000,-0.000044750
1540421421483,2018-10-24T18.50.21.483,16.803,-0.002048000,-0.002048000,-0.000027063
1540421421583,2018-10-24T18.50.21.583,16.903,-0.002048000,-0.002048000,-0.000021437
1540421421682,2018-10-24T18.50.21.682,17.002,-0.002048000,-0.002048000,-0.000030062
1540421421782,2018-10-24T18.50.21.782,17.102,-0.002048000,-0.002048000,-0.000047000
1540421421880,2018-10-24T18.50.21.880,17.200,-0.002048000,-0.002048000,-0.000059813
1540421421980,2018-10-24T18.50.21.980,17.300,-0.002048000,-0.002048000,-0.000068500
1540421422079,2018-10-24T18.50.22.079,17.399,-0.002048000,-0.002048000,-0.000086188
1540421422179,2018-10-24T18.50.22.179,17.499,-0.002048000,-0.002048000,-0.000062438
1540421422279,2018-10-24T18.50.22.279,17.599,-0.002048000,-0.002048000,-0.000060937
1540421422378,2018-10-24T18.50.22.378,17.698,-0.002048000,-0.002048000,-0.000056063
1540421422478,2018-10-24T18.50.22.478,17.798,-0.002048000,-0.002048000,-0.000051188
1540421422576,2018-10-24T18.50.22.576,17.896,-0.002048000,-0.002048000,-0.000044000
1540421422676,2018-10-24T18.50.22.676,17.996,-0.002048000,-0.002048000,-0.000032688
1540421422775,2018-10-24T18.50.22.775,18.095,-0.002048000,-0.002048000,-0.000025188
1540421422875,2018-10-24T18.50.22.875,18.195,-0.002048000,-0.002048000,-0.000029688
1540421422974,2018-10-24T18.50.22.974,18.294,-0.002048000,-0.002048000,-0.000036500
1540421423074,2018-10-24T18.50.23.074,18.394,-0.002048000,-0.002048000,-0.000022563
1540421423174,2018-10-24T18.50.23.174,18.494,-0.002048000,-0.002048000,-0.000024438
1540421423272,2018-10-24T18.50.23.272,18.592,-0.002048000,-0.002048000,-0.000025937
1540421423371,2018-10-24T18.50.23.371,18.691,-0.002048000,-0.002048000,-0.000020687
1540421423471,2018-10-24T18.50.23.471,18.791,-0.002048000,-0.002048000,-0.000014250
1540421423571,2018-10-24T18.50.23.571,18.891,-0.002048000,-0.002048000,-0.000019562
1540421423670,2018-10-24T18.50.23.670,18.990,-0.002048000,-0.002048000,-0.000025188
1540421423770,2018-10-24T18.50.23.770,19.090,-0.002048000,-0.002048000,-0.000027063
1540421423869,2018-10-24T18.50.23.869,19.189,-0.002048000,-0.002048000,-0.000029750
1540421423969,2018-10-24T18.50.23.969,19.289,-0.002048000,-0.002048000,-0.000033437
1540421424067,2018-10-24T18.50.24.067,19.387,-0.002048000,-0.002048000,-0.000032000
1540421424167,2018-10-24T18.50.24.167,19.487,-0.002048000,-0.002048000,-0.000032750
1540421424266,2018-10-24T18.50.24.266,19.586,-0.002048000,-0.002048000,-0.000033500
1540421424366,2018-10-24T18.50.24.366,19.686,-0.002048000,-0.002048000,-0.000035000
1540421424466,2018-10-24T18.50.24.466,19.786,-0.002048000,-0.002048000,-0.000034250
1540421424565,2018-10-24T18.50.24.565,19.885,-0.002048000,-0.002048000,-0.000034625
1540421424665,2018-10-24T18.50.24.665,19.985,-0.002048000,-0.002048000,-0.000035000
1540421424763,2018-10-24T18.50.24.763,20.083,-0.002048000,-0.002048000,-0.000034250
1540421424863,2018-10-24T18.50.24.863,20.183,-0.002048000,-0.002048000,-0.000033500
1540421424962,2018-10-24T18.50.24.962,20.282,-0.002048000,-0.002048000,-0.000034250
1540421425062,2018-10-24T18.50.25.062,20.382,-0.002048000,-0.002048000,-0.000035000
1540421425161,2018-10-24T18.50.25.161,20.481,-0.002048000,-0.002048000,-0.000033500
1540421425261,2018-10-24T18.50.25.261,20.581,-0.002048000,-0.002048000,-0.000035000
1540421425361,2018-10-24T18.50.25.361,20.681,-0.002048000,-0.002048000,-0.000034625
1540421425459,2018-10-24T18.50.25.459,20.779,-0.002048000,-0.002048000,-0.000034625
1540421425558,2018-10-24T18.50.25.558,20.878,-0.002048000,-0.002048000,-0.000033437
1540421425658,2018-10-24T18.50.25.658,20.978,-0.002048000,-0.002048000,-0.000033875
1540421425758,2018-10-24T18.50.25.758,21.078,-0.002048000,-0.002048000,-0.000033500
1540421425857,2018-10-24T18.50.25.857,21.177,-0.002048000,-0.002048000,-0.000034625
1540421425957,2018-10-24T18.50.25.957,21.277,-0.002048000,-0.002048000,-0.000033875
1540421426056,2018-10-24T18.50.26.056,21.376,-0.002048000,-0.002048000,-0.000034250
1540421426156,2018-10-24T18.50.26.156,21.476,-0.002048000,-0.002048000,-0.000033875
1540421426254,2018-10-24T18.50.26.254,21.574,-0.002048000,-0.002048000,-0.000034250
